iter	Passed	Remaining
0	0	832
1	1	760
2	2	720
3	2	702
4	3	695
5	4	684
6	4	681
7	5	672
8	6	670
9	6	663
10	7	688
11	8	677
12	9	684
13	9	683
14	10	679
15	11	678
16	11	677
17	12	673
18	12	670
19	13	665
20	14	666
21	14	662
22	15	661
23	16	660
24	16	659
25	17	656
26	18	656
27	18	653
28	19	652
29	20	650
30	20	648
31	21	648
32	22	648
33	22	646
34	23	645
35	24	644
36	24	645
37	25	644
38	26	644
39	26	641
40	27	643
41	28	641
42	28	640
43	29	639
44	30	639
45	30	637
46	31	635
47	31	634
48	32	634
49	33	632
50	33	632
51	34	631
52	35	630
53	35	629
54	36	628
55	37	628
56	37	627
57	38	626
58	39	626
59	39	625
60	40	623
61	41	622
62	41	622
63	42	620
64	43	620
65	43	618
66	44	617
67	45	617
68	45	616
69	46	615
70	46	614
71	47	613
72	48	612
73	48	611
74	49	610
75	50	609
76	50	609
77	51	608
78	52	607
79	52	606
80	53	605
81	54	605
82	54	600
83	55	600
84	55	599
85	56	598
86	57	598
87	57	598
88	58	597
89	58	596
90	59	595
91	60	595
92	60	594
93	61	594
94	62	592
95	62	591
96	63	591
97	64	591
98	64	589
99	65	589
100	66	588
101	66	587
102	67	587
103	68	586
104	68	585
105	69	585
106	70	584
107	70	583
108	71	582
109	72	582
110	72	582
111	73	581
112	73	580
113	74	579
114	75	578
115	75	577
116	76	577
117	77	576
118	77	574
119	78	573
120	78	572
121	79	570
122	80	570
123	80	570
124	81	569
125	81	568
126	82	566
127	83	565
128	83	565
129	84	564
130	84	563
131	85	562
132	86	561
133	86	560
134	87	560
135	88	559
136	88	558
137	89	557
138	90	557
139	90	556
140	91	555
141	91	553
142	92	552
143	92	551
144	93	550
145	94	549
146	94	549
147	95	548
148	95	547
149	96	546
150	97	545
151	97	544
152	98	543
153	98	542
154	99	541
155	100	541
156	100	540
157	101	539
158	102	539
159	102	538
160	103	536
161	103	536
162	104	535
163	104	534
164	105	533
165	106	532
166	106	531
167	107	530
168	107	530
169	108	529
170	108	528
171	109	527
172	110	526
173	110	526
174	111	525
175	112	524
176	112	523
177	113	522
178	113	521
179	114	520
180	114	520
181	115	519
182	116	518
183	116	518
184	117	517
185	118	516
186	118	516
187	119	515
188	119	514
189	120	513
190	121	513
191	121	512
192	122	511
193	122	510
194	123	510
195	124	509
196	124	508
197	125	507
198	125	507
199	126	506
200	127	505
201	127	504
202	128	503
203	128	503
204	129	502
205	130	501
206	130	500
207	131	500
208	132	499
209	132	499
210	133	498
211	133	497
212	134	496
213	135	496
214	135	495
215	136	494
216	136	493
217	137	492
218	138	492
219	138	491
220	139	490
221	139	490
222	140	489
223	141	488
224	141	487
225	142	487
226	142	486
227	143	485
228	143	484
229	144	483
230	145	483
231	145	482
232	146	481
233	146	481
234	147	480
235	148	479
236	148	479
237	149	478
238	149	477
239	150	476
240	151	475
241	151	475
242	152	474
243	152	473
244	153	473
245	154	472
246	154	471
247	155	471
248	155	470
249	156	469
250	157	469
251	157	468
252	158	467
253	158	466
254	159	466
255	160	465
256	160	464
257	161	463
258	161	463
259	162	462
260	163	462
261	163	461
262	164	460
263	165	460
264	165	459
265	166	458
266	166	458
267	167	457
268	168	456
269	168	456
270	169	455
271	169	454
272	170	454
273	171	453
274	171	452
275	172	452
276	172	451
277	173	450
278	174	450
279	174	449
280	175	448
281	175	448
282	176	447
283	177	446
284	177	446
285	178	445
286	179	444
287	179	444
288	180	443
289	180	442
290	181	442
291	182	441
292	182	441
293	183	440
294	184	439
295	184	439
296	185	438
297	185	437
298	186	437
299	187	436
300	187	436
301	188	435
302	188	434
303	189	433
